distance,aoa
126.17,-15.36
127.58,-16.35
120.54,-7.92
126.64,-8.94
139.3,-9.73
121.95,-9.62
124.76,-16.0
129.45,-17.75
126.17,-8.29
122.42,-10.28
123.83,-9.84
124.29,-9.38
124.29,-8.1
122.89,-9.76
126.64,-8.21
123.36,-11.71
124.76,-7.42
123.83,-12.92
124.76,-5.5
125.7,-6.69
122.89,-16.08
122.89,-11.34
118.67,-9.29
125.7,-8.94
124.76,-11.91
119.14,-11.51
116.79,-12.33
125.23,-10.85
124.29,-12.44
123.83,-9.4
120.07,-16.08
137.43,-5.06
123.36,-10.33
123.83,-14.48
121.01,-6.87
123.83,-7.61
126.64,-10.17
118.2,-16.0
115.85,-17.58
126.17,-18.95
122.42,-14.06
116.32,-3.5
115.85,-7.09
117.73,-10.5
121.01,-5.48
121.01,-8.07
120.07,-8.18
116.79,-11.78
122.42,-9.27
116.32,-3.31
119.14,-12.24
120.54,-8.7
121.95,-13.6
111.63,-8.79
117.73,-6.98
119.6,-7.92
117.26,-8.25
118.67,-7.22
118.67,-11.34
118.2,-8.07
120.07,-9.45
117.73,-3.24
119.6,-5.44
115.85,-6.78
115.38,-6.01
113.98,-21.58
123.83,-7.11
117.73,-2.54
122.42,-6.95
121.48,-8.45
119.6,-7.57
121.48,-7.75
120.07,-7.53
117.73,-8.75
117.26,-15.58
120.54,-6.95
119.6,-8.1
118.67,-7.13
120.07,-9.07
119.6,-4.69
116.79,-5.86
115.38,-10.81
120.54,-6.62
113.98,-3.99
117.73,-6.89
111.63,-9.82
118.67,-10.68
118.67,-13.29
119.14,-8.88
118.2,-10.85
121.48,-8.99
108.35,-8.27
118.67,-10.5
113.98,-9.65
118.2,-8.7
121.01,-10.68
116.32,-8.01
123.83,-13.27
121.01,-9.38
118.67,-6.78
121.48,-7.22
119.6,-12.57
122.42,-11.65
117.26,-12.35
119.6,-15.25
118.67,-5.13
120.07,-7.31
120.54,-9.38
118.67,-10.59
118.67,-11.47
120.54,-7.04
115.85,-12.22
110.22,-11.89
